"bin_midpoint","stage.x","hemisphere","slope","intercept","slope_se","slope_lower_95","slope_upper_95","p_value","r_squared","n_cells_model","method","label","color","n_cells","n_valid_lat_bins","min_abs_lat","max_abs_lat","lat_range","sum_nT","mean_nT","median_nT","mean_t_over_nT","max_t_over_nT","prop_high_extrapolation","slope_direction","bin","stage.y","short","bottom","top","dur","climate_state","climate_color"
57.62,"Thanetian","Northern",-0.00919423602553211,46.2598141959205,0.731847406857045,-1.44361515346534,1.42522668141428,0.99028404876739,1.97283909233445e-05,10,"grid_cell_all_cells_OLS","good","Northern",10,3,7.19887659856558,72.0740681049143,64.8751915063487,2138,213.8,134.5,0.660496147638343,1.44042422064224,0,"normal_LDG",81,"Thanetian","Th",59.24,56,3.24,"Warmhouse","#DECABC"
60.45,"Selandian","Northern",0.590810386578334,47.1236273825276,0.866255910446852,-1.1070511978975,2.28867197105416,0.565610601977464,0.188694149114381,4,"grid_cell_all_cells_OLS","bad","Bad hemisphere",4,2,37.1280761101847,66.4175214325077,29.289445322323,1178,294.5,298.5,0.759689129047971,1.30903311702407,0,"reverse_LDG",80,"Selandian","Se",61.66,59.24,2.42,"Hothouse","#D6B6B7"
63.83,"Danian","Northern",5.22868153564239,-168.015977656151,1.35128483977517,2.58016324968305,7.87719982160173,0.00827148771766585,0.713909311117264,8,"grid_cell_all_cells_OLS","bad","Bad hemisphere",8,2,29.3975296822099,46.446619081476,17.0490893992661,2490,311.25,253,0.681528248009396,1.41533738713638,0,"reverse_LDG",79,"Danian","Dan",66,61.66,4.34,"Hothouse","#D6B6B7"
69.1,"Maastrichtian","Northern",0.655810513279554,6.77519008349192,0.352520484808107,-0.0351296369443361,1.34675066350344,0.074640117474521,0.121601666340788,27,"grid_cell_all_cells_OLS","good","Northern",27,3,3.99517990899584,56.8320827812714,52.8369028722756,15192,562.666666666667,172,0.473426668467005,1.58299408931909,0.037037037037037,"reverse_LDG",78,"Maastrichtian","Maa",72.2,66,6.2,"Transitional","#E4E4E4"
77.9,"Campanian","Northern",-0.0316754916377718,15.5446647819669,0.14013098688845,-0.306332225939133,0.242981242663589,0.822192306764181,0.00113415657862195,47,"grid_cell_all_cells_OLS","good","Northern",47,3,3.99517990899584,75.4880138837914,71.4928339747956,6805,144.787234042553,43,0.692223957828346,1.97121922512416,0.0851063829787234,"normal_LDG",77,"Campanian","Cam",83.6,72.2,11.4,"Warmhouse","#DECABC"
84.65,"Santonian","Northern",0.225886909269817,10.1572766240991,0.40941093243808,-0.57655851830882,1.02833233684845,0.587914057910492,0.0166305820172491,20,"grid_cell_all_cells_OLS","good","Northern",20,3,13.9241265294246,56.8320827812714,42.9079562518468,1224,61.2,29.5,0.698648999096279,1.73081931712196,0.1,"reverse_LDG",76,"Santonian","San",85.7,83.6,2.1,"Hothouse","#D6B6B7"
87.75,"Coniacian","Northern",-0.313454630006522,31.1995260918509,0.413629041555408,-1.12416755145512,0.497258291442078,0.458368479644095,0.0309182731985861,20,"grid_cell_all_cells_OLS","good","Northern",20,3,7.19887659860661,56.8320827812714,49.6332061826648,691,34.55,18,0.845373991835746,1.99360975604642,0.15,"normal_LDG",75,"Coniacian","Con",89.8,85.7,4.1,"Hothouse","#D6B6B7"
91.85,"Turonian","Northern",-0.247627896377166,34.012434308355,0.329450951503291,-0.893351761323616,0.398095968569284,0.458770974284593,0.0204955812620282,29,"grid_cell_all_cells_OLS","good","Northern",29,3,7.19887659860661,62.2141685429068,55.0152919443002,2708,93.3793103448276,34,0.700010702523994,1.92666515849871,0.103448275862069,"normal_LDG",74,"Turonian","Tur",93.9,89.8,4.1,"Hothouse","#D6B6B7"
97.2,"Cenomanian","Northern",-0.151141018168649,41.9720097965836,0.331750097606378,-0.80137120947715,0.499089173139852,0.652329922106134,0.00762874294282118,29,"grid_cell_all_cells_OLS","good","Northern",29,3,5.59231793698182e-09,62.2141685432899,62.2141685376976,4795,165.344827586207,63,0.663113652009693,1.9719315793372,0.0689655172413793,"normal_LDG",73,"Cenomanian","Cen",100.5,93.9,6.6,"Hothouse","#D6B6B7"
106.85,"Albian","Northern",-0.139422407023672,19.286476785471,0.231256359365297,-0.592684871379655,0.313840057332311,0.552480095303111,0.0155575173781051,25,"grid_cell_all_cells_OLS","good","Northern",25,3,4.08713792775566,75.4880138836507,71.400875955895,2437,97.48,28,0.84804167092751,1.69931122112038,0.16,"normal_LDG",72,"Albian","Alb",113.2,100.5,12.7,"Warmhouse","#DECABC"
