"bin_midpoint","stage","hemisphere","slope","intercept","slope_se","slope_lower_95","slope_upper_95","p_value","r_squared","n_cells_model","resample_id","k_sample","slope_filter_id"
0.00585,"Holocene","Northern",-0.452294129814152,48.6738363588228,0.318361217612371,-1.0762821163344,0.171693856706096,0.1858272442455,0.167940670520716,12,12,1,"occurrence5"
0.00585,"Holocene","Northern",-0.416011125460617,47.4742634839742,0.316086084862051,-1.03553985179024,0.203517600869003,0.217499244896729,0.147645262224963,12,13,1,"occurrence5"
0.00585,"Holocene","Northern",-0.416011125460617,47.4742634839742,0.316086084862051,-1.03553985179024,0.203517600869003,0.217499244896729,0.147645262224963,12,14,1,"occurrence5"
0.00585,"Holocene","Northern",-0.452294129814152,48.6738363588228,0.318361217612371,-1.0762821163344,0.171693856706096,0.1858272442455,0.167940670520716,12,15,1,"occurrence5"
0.00585,"Holocene","Northern",-0.457835972733365,48.3795192188199,0.323098819297671,-1.0911096585568,0.175437713090071,0.186871428581986,0.167217162582519,12,16,1,"occurrence5"
0.00585,"Holocene","Northern",-0.468049669040771,48.373450303583,0.325439601017096,-1.10591128703428,0.169811948952737,0.180925476359162,0.171392543709783,12,17,1,"occurrence5"
0.00585,"Holocene","Northern",-0.452294129814152,48.6738363588228,0.318361217612371,-1.0762821163344,0.171693856706096,0.1858272442455,0.167940670520716,12,18,1,"occurrence5"
0.00585,"Holocene","Northern",-0.484251141441981,56.9493031410372,0.387576667895933,-1.24390141051801,0.275399127634048,0.239959183983453,0.135029148599927,12,19,1,"occurrence5"
0.00585,"Holocene","Northern",-0.548912583324487,57.4423717023454,0.408336407338877,-1.34925194170869,0.251426775059712,0.208562522560545,0.153048389739064,12,20,1,"occurrence5"
0.00585,"Holocene","Northern",-0.496156879711313,56.5021149050178,0.396507681051357,-1.27331193457197,0.280998175149346,0.239299689506112,0.135381507504919,12,21,1,"occurrence5"
0.00585,"Holocene","Northern",-0.537721651079486,57.4040152013356,0.405907836976075,-1.33330101155259,0.257857709393621,0.214732287177451,0.149293215027845,12,22,1,"occurrence5"
0.00585,"Holocene","Northern",-0.485358136531354,56.479537701561,0.393708817067539,-1.25702741798373,0.286311144921023,0.245851393316063,0.131926184897058,12,23,1,"occurrence5"
0.00585,"Holocene","Northern",-0.457835972733365,48.3795192188199,0.323098819297671,-1.0911096585568,0.175437713090071,0.186871428581986,0.167217162582519,12,24,1,"occurrence5"
0.00585,"Holocene","Northern",-0.498603441254926,56.6544692036528,0.395198458601884,-1.27319242011462,0.275985537604766,0.235707834764187,0.137318907283186,12,25,1,"occurrence5"
0.00585,"Holocene","Northern",-0.534775812543889,57.8223665177108,0.399691649783761,-1.31817144612006,0.248619821032281,0.21053497180253,0.151835538311164,12,26,1,"occurrence5"
0.00585,"Holocene","Northern",-0.404418755839057,47.3772325421335,0.314399026038537,-1.02064084687459,0.211803335196475,0.227312919503983,0.141971706485602,12,27,1,"occurrence5"
0.00585,"Holocene","Northern",-0.416011125460617,47.4742634839742,0.316086084862051,-1.03553985179024,0.203517600869003,0.217499244896729,0.147645262224963,12,28,1,"occurrence5"
0.00585,"Holocene","Northern",-0.40080310924026,47.72498105939,0.309582069053239,-1.00758396458461,0.205977746104088,0.224532621823466,0.143552656452017,12,29,1,"occurrence5"
0.00585,"Holocene","Northern",-0.496156879711313,56.5021149050178,0.396507681051357,-1.27331193457197,0.280998175149346,0.239299689506112,0.135381507504919,12,30,1,"occurrence5"
0.00585,"Holocene","Northern",-0.485358136531354,56.479537701561,0.393708817067539,-1.25702741798373,0.286311144921023,0.245851393316063,0.131926184897058,12,31,1,"occurrence5"
0.00585,"Holocene","Northern",-0.551040151049923,57.5865714850498,0.40693095903852,-1.34862483076542,0.246544528665577,0.205500538074374,0.154954779038527,12,32,1,"occurrence5"
0.00585,"Holocene","Northern",-0.484251141441981,56.9493031410372,0.387576667895933,-1.24390141051801,0.275399127634048,0.239959183983453,0.135029148599927,12,33,1,"occurrence5"
0.00585,"Holocene","Northern",-0.537721651079486,57.4040152013356,0.405907836976075,-1.33330101155259,0.257857709393621,0.214732287177451,0.149293215027845,12,34,1,"occurrence5"
0.00585,"Holocene","Northern",-0.404418755839057,47.3772325421335,0.314399026038537,-1.02064084687459,0.211803335196475,0.227312919503983,0.141971706485602,12,35,1,"occurrence5"
