"bin_midpoint","stage","era","slope_Northern","slope_Southern","k_median_Northern","k_median_Southern","k_cv_Northern","k_cv_Southern","k_mean_Northern","k_mean_Southern","sampling_profile_dissim","slope_diff_abs","slope_diff_signed","k_cv_diff","k_cv_diff_signed","k_cv_asym","k_median_diff","k_median_asym","k_median_diff_signed","k_mean_diff","k_mean_asym","k_mean_diff_signed","method_group","slope_metric","qc_name"
326.85,"Serpukhovian","Palaeozoic",-1.16442785332156,-0.94523504288157,0,1,1.51805740006635,1.25595818894936,0.944444444444444,1.16666666666667,1.19327731092437,0.21919281043999,-0.21919281043999,0.26209921111699,0.26209921111699,0.10991293106148,1,0.693147180559945,-1,0.222222222222226,0.108213584640235,-0.222222222222226,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
365.505,"Famennian","Palaeozoic",1.48692894730888,-0.028205788614315,0,1.5,2.2129299183502,1.1176228712553,0.444444444444444,1.77777777777778,1.375,1.5151347359232,1.5151347359232,1.0953070470949,1.0953070470949,0.416889095563695,1.5,0.916290731874155,-1.5,1.33333333333334,0.653926467406665,-1.33333333333334,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
377.23,"Frasnian","Palaeozoic",0.443712554206949,-0.161765512220641,0,3,2.66631650362049,0.760949484293839,0.388888888888889,2.66666666666667,0.4375,0.60547806642759,0.60547806642759,1.90536701932665,1.90536701932665,0.733334337261742,3,1.38629436111989,-3,2.27777777777778,0.970778917158226,-2.27777777777778,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
385.13,"Givetian","Palaeozoic",-0.0819238477167214,-0.318577681198117,0,2,2.18529407725405,0.915060071237724,0.388888888888889,3.11111111111111,0.803571428571429,0.236653833481396,0.236653833481396,1.27023400601633,1.27023400601633,0.508795625776527,2,1.09861228866811,-2,2.72222222222222,1.08518926833597,-2.72222222222222,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
402.045,"Emsian","Palaeozoic",-0.476134594962609,-0.0701016700929609,0,3,1.48892973800172,0.559461911139841,0.888888888888889,2.61111111111111,1.41289893617021,0.406032924869648,-0.406032924869648,0.929467826861879,0.929467826861879,0.467511960976739,3,1.38629436111989,-3,1.72222222222222,0.648026745279475,-1.72222222222222,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
423.85,"Ludfordian","Palaeozoic",-0.373610733422315,-0.298683730625863,0,1,1.57181049598675,1.33301102013774,0.5,0.944444444444444,1.1437908496732,0.074927002796452,-0.074927002796452,0.23879947584901,0.23879947584901,0.0974504074098843,1,0.693147180559945,-1,0.444444444444444,0.259511195485084,-0.444444444444444,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
428.65,"Homerian","Palaeozoic",-0.151080620889726,0.476805655508176,0,0.5,1.49963534702269,1.26862593569022,0.611111111111111,1.11111111111111,0.265909090909091,0.627886276397902,-0.627886276397902,0.23100941133247,0.23100941133247,0.0969705265019447,0.5,0.405465108108164,-0.5,0.499999999999999,0.270290329739911,-0.499999999999999,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
435.75,"Telychian","Palaeozoic",-0.119455132326254,0.223854051387799,1,1,1.10825777421936,1.40928253772803,0.833333333333333,1.44444444444444,0.433333333333333,0.343309183714053,-0.343309183714053,0.30102476350867,-0.30102476350867,0.133467094004593,0,0,0,0.611111111111107,0.287682072451779,-0.611111111111107,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
441.8,"Rhuddanian","Palaeozoic",-0.233997016100744,0.512679485051911,0,0,2.06824733985651,1.6007351252398,0.277777777777778,1.11111111111111,1.75,0.746676501152655,-0.746676501152655,0.46751221461671,0.46751221461671,0.165312353963915,0,0,0,0.833333333333332,0.502091943797235,-0.833333333333332,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
463.8,"Darriwilian","Palaeozoic",-0.0741692584338602,0.153784007718594,0,2.5,1.63022914304202,0.695665014652904,1.11111111111111,3.16666666666667,0.119298245614035,0.227953266152454,-0.227953266152454,0.934564128389116,0.934564128389116,0.438995966110471,2.5,1.25276296849537,-2.5,2.05555555555556,0.679901953809926,-2.05555555555556,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
474.2,"Floian","Palaeozoic",-0.350237301626533,0.443224563539674,0,2,1.57429655605513,0.59920566185447,1.05555555555556,1.88888888888889,0.0526315789473684,0.793461865166207,-0.793461865166207,0.97509089420066,0.97509089420066,0.476069270053112,2,1.09861228866811,-2,0.83333333333333,0.340325805937201,-0.83333333333333,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
