"bin_midpoint","slope","intercept","quantile","hemisphere","label","color","bin","stage","short","bottom","top","dur","climate_state","climate_color"
35.805,0.076504870191178,7.37079766615695,"q50","Southern","good","Southern",85,"Priabonian","Prb",37.71,33.9,3.81,"Warmhouse","#b57a51"
39.37,-1.23719864899274,79.0720879321933,"q50","Southern","good","Southern",84,"Bartonian","Brt",41.03,37.71,3.32,"Warmhouse","#b57a51"
44.55,-0.220983327667056,18.0317944869778,"q50","Southern","good","Southern",83,"Lutetian","Lut",48.07,41.03,7.04,"Warmhouse","#b57a51"
52.035,0.357888472469188,6.51684499147398,"q50","Southern","bad","Bad hemisphere",82,"Ypresian","Ypr",56,48.07,7.93,"Hothouse","#95484b"
57.62,0.757511529998421,3.61986486184552,"q50","Southern","bad","Bad hemisphere",81,"Thanetian","Th",59.24,56,3.24,"Warmhouse","#b57a51"
63.83,0.193866363605354,13.918086345599,"q50","Southern","good","Southern",79,"Danian","Dan",66,61.66,4.34,"Hothouse","#95484b"
69.1,0.711608064815674,-15.7234975811189,"q50","Southern","good","Southern",78,"Maastrichtian","Maa",72.2,66,6.2,"Transitional","#c8c7c7"
77.9,0.174411885505259,4.06630496606489,"q50","Southern","good","Southern",77,"Campanian","Cam",83.6,72.2,11.4,"Warmhouse","#b57a51"
84.65,-0.410182030397044,55.4163010879153,"q50","Southern","bad","Bad hemisphere",76,"Santonian","San",85.7,83.6,2.1,"Hothouse","#95484b"
87.75,-0.899537454548316,64.7927469780609,"q50","Southern","bad","Bad hemisphere",75,"Coniacian","Con",89.8,85.7,4.1,"Hothouse","#95484b"
91.85,-0.675438703144426,50.1899312800267,"q50","Southern","good","Southern",74,"Turonian","Tur",93.9,89.8,4.1,"Hothouse","#95484b"
97.2,-0.16345517861378,26.9925286524169,"q50","Southern","good","Southern",73,"Cenomanian","Cen",100.5,93.9,6.6,"Hothouse","#95484b"
106.85,0.0855662547136729,14.9791180761432,"q50","Southern","good","Southern",72,"Albian","Alb",113.2,100.5,12.7,"Warmhouse","#b57a51"
117.3,0.00603272210844423,8.58333939885947,"q50","Southern","good","Southern",71,"Aptian","Apt",121.4,113.2,8.2,"Hothouse","#95484b"
123.585,-1.6669233939998,101.296915857996,"q50","Southern","bad","Bad hemisphere",70,"Barremian","Bar",125.77,121.4,4.37,"Hothouse","#95484b"
129.185,-5.95482364779646,257.830518518378,"q50","Southern","good","Southern",69,"Hauterivian","Hau",132.6,125.77,6.83,"Warmhouse","#b57a51"
134.825,0.43833128682718,8.94431407153786,"q50","Southern","good","Southern",68,"Valanginian","Val",137.05,132.6,4.45,"Warmhouse","#b57a51"
146.15,-1.0775440195343,87.4645028358756,"q50","Southern","bad","Bad hemisphere",66,"Tithonian","Tit",149.2,143.1,6.1,"Warmhouse","#b57a51"
152,-0.258295285649241,44.737607335894,"q50","Southern","good","Southern",65,"Kimmeridgian","Kim",154.8,149.2,5.6,"Transitional","#c8c7c7"
158.15,-0.267166541235968,38.7007140595361,"q50","Southern","good","Southern",64,"Oxfordian","Oxf",161.5,154.8,6.7,"Transitional","#c8c7c7"
163.4,-0.0122097507675055,40.427127799809,"q50","Southern","good","Southern",63,"Callovian","Cal",165.3,161.5,3.8,"Coolhouse","#007d65"
166.75,-0.487359238596684,46.4207054435484,"q50","Southern","good","Southern",62,"Bathonian","Bat",168.2,165.3,2.9,"Coldhouse","#005344"
169.55,-0.533352275562023,47.6982858906115,"q50","Southern","good","Southern",61,"Bajocian","Baj",170.9,168.2,2.7,"Coolhouse","#007d65"
172.8,-5.24495125898631,168.891530807826,"q50","Southern","bad","Bad hemisphere",60,"Aalenian","Aal",174.7,170.9,3.8,"Transitional","#c8c7c7"
179.45,-0.373622796386396,52.4370864639714,"q50","Southern","good","Southern",59,"Toarcian","Toa",184.2,174.7,9.5,"Warmhouse","#b57a51"
188.55,-0.738673444170029,62.1501951177452,"q50","Southern","good","Southern",58,"Pliensbachian","Plb",192.9,184.2,8.7,"Transitional","#c8c7c7"
196.2,-0.287270645251048,47.1854865378451,"q50","Southern","good","Southern",57,"Sinemurian","Sin",199.5,192.9,6.6,"Transitional","#c8c7c7"
200.45,0.00586710621398367,6.83385532402019,"q50","Southern","good","Southern",56,"Hettangian","Het",201.4,199.5,1.9,"Transitional","#c8c7c7"
203.55,-1.1229987878179,83.1450853246892,"q50","Southern","bad","Bad hemisphere",55,"Rhaetian","Rha",205.7,201.4,4.3,"Coolhouse","#007d65"
216.5,-0.292578833830259,30.4747417619367,"q50","Southern","good","Southern",54,"Norian","Nor",227.3,205.7,21.6,"Transitional","#c8c7c7"
232.15,0.293410577770488,-5.86302349705369,"q50","Southern","bad","Bad hemisphere",53,"Carnian","Car",237,227.3,9.7,"Transitional","#c8c7c7"
239.232,-0.144492217307633,14.4497872595059,"q50","Southern","bad","Bad hemisphere",52,"Ladinian","Lad",241.464,237,4.464,"Coolhouse","#007d65"
244.082,-0.543475358025546,39.0448047056223,"q50","Southern","good","Southern",51,"Anisian","Ani",246.7,241.464,5.236,"Warmhouse","#b57a51"
248.3,0.0990013122161332,25.3658889267936,"q50","Southern","bad","Bad hemisphere",50,"Olenekian","Ole",249.9,246.7,3.2,"Warmhouse","#b57a51"
250.901,0.321566221980385,5.1500540385555,"q50","Southern","good","Southern",49,"Induan","Ind",251.902,249.9,2.002,"Hothouse","#95484b"
253.021,0.447578114066739,16.266246536493,"q50","Southern","good","Southern",48,"Changhsingian","Chg",254.14,251.902,2.238,"Coldhouse","#005344"
256.825,-0.183391713270013,33.1202449455303,"q50","Southern","good","Southern",47,"Wuchiapingian","Wuc",259.51,254.14,5.37,"Coolhouse","#007d65"
261.895,0.0132748536743576,20.5586743564935,"q50","Southern","good","Southern",46,"Capitanian","Cap",264.28,259.51,4.77,"Coolhouse","#007d65"
