"bin_midpoint","hemisphere","stage","n_cells","n_valid_lat_bins","min_abs_lat_bin_mid","max_abs_lat_bin_mid","lat_range_diagnostic","has_tropical","has_temperate","has_polar","sum_nT","mean_nT","median_nT","min_nT","max_nT","has_adjacent_tt","k_min","k_max","k_mean","k_median","k_cv","k_evenness","dominant_lat_bin_prop","pass_tropical","pass_temperate","pass_polar","pass_adjacent_tt","pass_n_lat_bins","label","color","slope_filter_id","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","require_tropical","require_temperate","require_polar","require_adjacent_tt","require_min_lat_bins"
232.15,"Northern","Carnian",22,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,2760,125.454545454545,25,5,1952,TRUE,1,6,3.66666666666667,4,0.507790547046143,0.272727272727273,0.272727272727273,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
239.232,"Northern","Ladinian",22,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,1207,54.8636363636364,30,7,315,TRUE,1,9,3.66666666666667,3,0.839125873397406,0.272727272727273,0.409090909090909,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
244.082,"Northern","Anisian",23,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,3287,142.913043478261,47,8,1195,TRUE,1,8,3.83333333333333,2.5,0.863894553531812,0.260869565217391,0.347826086956522,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
248.3,"Northern","Olenekian",24,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,1299,54.125,20.5,6,463,TRUE,2,9,4,3,0.689202437604511,0.5,0.375,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
250.901,"Northern","Induan",38,5,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,3249,85.5,32,5,607,TRUE,2,15,7.6,5,0.736136880563125,0.263157894736842,0.394736842105263,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
253.021,"Northern","Changhsingian",23,5,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,4285,186.304347826087,64,6,1017,TRUE,1,10,4.6,3,0.822072626138654,0.217391304347826,0.434782608695652,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
256.825,"Northern","Wuchiapingian",42,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,5092,121.238095238095,51.5,5,730,TRUE,1,19,7,4.5,1.00203873810001,0.142857142857143,0.452380952380952,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
261.895,"Northern","Capitanian",26,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,2441,93.8846153846154,22.5,5,1199,TRUE,1,9,4.33333333333333,3.5,0.739422451735256,0.230769230769231,0.346153846153846,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
265.59,"Northern","Wordian",20,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,2298,114.9,31,6,646,TRUE,2,6,3.33333333333333,2.5,0.525357021462548,0.6,0.3,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
270.65,"Northern","Roadian",38,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,6391,168.184210526316,31,5,2684,TRUE,4,10,6.33333333333333,6,0.326145965996414,0.631578947368421,0.263157894736842,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
