"method_group","slope_metric","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","test","x_var","y_var","n","estimate","p_value"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","occurrence",5,NA,2,"tropical_temperate","NH-SH slope vs signed k_median difference","k_median_diff_signed","slope_diff_signed",10,0.161627045958809,0.655533103205703
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate_polar","occurrence",5,NA,2,"tropical_temperate_polar","NH slope vs SH slope","slope_Northern","slope_Southern",4,0.4,0.6
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate_polar","occurrence",5,NA,2,"tropical_temperate_polar","|NH-SH slope| vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_abs",4,-0.4,0.6
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate_polar","occurrence",5,NA,2,"tropical_temperate_polar","|NH-SH slope| vs k_cv difference","k_cv_diff","slope_diff_abs",4,-0.2,0.8
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate_polar","occurrence",5,NA,2,"tropical_temperate_polar","|NH-SH slope| vs k_median asymmetry","k_median_asym","slope_diff_abs",4,-0.894427190999916,0.105572809000084
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate_polar","occurrence",5,NA,2,"tropical_temperate_polar","NH-SH slope vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_signed",4,0.4,0.6
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate_polar","occurrence",5,NA,2,"tropical_temperate_polar","NH-SH slope vs signed k_cv difference","k_cv_diff_signed","slope_diff_signed",4,-0.2,0.8
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate_polar","occurrence",5,NA,2,"tropical_temperate_polar","NH-SH slope vs signed k_median difference","k_median_diff_signed","slope_diff_signed",4,0.894427190999916,0.105572809000084
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k3_tropical_temperate","occurrence",5,NA,3,"tropical_temperate","NH slope vs SH slope","slope_Northern","slope_Southern",2,NA,NA
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k3_tropical_temperate","occurrence",5,NA,3,"tropical_temperate","|NH-SH slope| vs sampling-profile dissimilarity","sampling_profile_dissim","slope_diff_abs",2,NA,NA
