"method_group","slope_metric","qc_name","group1","group2","n1","n2","median1","median2","median_diff","p_value","w_statistic","iqr1","iqr2","test_note","p_adjusted"
"percentile_latbin_OLS","q90","collection5_k1_tropical_temperate_polar","Coldhouse","Transitional",10,16,-0.67622780710626,-0.329052185683653,-0.347175621422607,0.0240534139442597,42,0.464728971703363,0.56523479183412,"Tested",0.0481068278885194
"percentile_latbin_OLS","q90","collection5_k1_tropical_temperate_polar","Transitional","Hothouse",16,11,-0.329052185683653,0.110193615826712,-0.439245801510366,0.0443355209304904,53,0.56523479183412,0.382228060816871,"Tested",0.0738925348841507
"percentile_latbin_OLS","q90","collection5_k1_tropical_temperate_polar","Transitional","Warmhouse",16,16,-0.329052185683653,-0.129967949926479,-0.199084235757175,0.0733866797625133,89,0.56523479183412,0.299599822052841,"Tested",0.104838113946448
"percentile_latbin_OLS","q90","collection5_k1_tropical_temperate_polar","Coolhouse","Transitional",19,16,-0.398235417823693,-0.329052185683653,-0.0691832321400394,0.084689440286695,110,0.336534314474229,0.56523479183412,"Tested",0.105861800358369
"percentile_latbin_OLS","q90","collection5_k1_tropical_temperate_polar","Warmhouse","Hothouse",16,11,-0.129967949926479,0.110193615826712,-0.240161565753191,0.0954911055790571,61,0.299599822052841,0.382228060816871,"Tested",0.106101228421175
"percentile_latbin_OLS","q90","collection5_k1_tropical_temperate_polar","Coldhouse","Coolhouse",10,19,-0.67622780710626,-0.398235417823693,-0.277992389282568,0.112010863375697,68,0.464728971703363,0.336534314474229,"Tested",0.112010863375697
"percentile_latbin_OLS","q90","collection5_k2_tropical_temperate","Coldhouse","Warmhouse",11,18,-0.740439233797774,-0.190864270465183,-0.549574963332591,0.00103902021393927,30,0.587356460144292,0.395829415814022,"Tested",0.00578778470741927
"percentile_latbin_OLS","q90","collection5_k2_tropical_temperate","Coldhouse","Hothouse",11,12,-0.740439233797774,0.104205228461765,-0.84464446225954,0.00115755694148385,16,0.587356460144292,0.564823766752482,"Tested",0.00578778470741927
"percentile_latbin_OLS","q90","collection5_k2_tropical_temperate","Coldhouse","Transitional",11,18,-0.740439233797774,-0.119701466988094,-0.62073776680968,0.00327128143390824,38,0.587356460144292,0.689375790853332,"Tested",0.0109042714463608
"percentile_latbin_OLS","q90","collection5_k2_tropical_temperate","Coolhouse","Hothouse",21,12,-0.28766769856381,0.104205228461765,-0.391872927025576,0.00464800028361542,56,0.385364971378357,0.564823766752482,"Tested",0.0116200007090386
"percentile_latbin_OLS","q90","collection5_k2_tropical_temperate","Coolhouse","Warmhouse",21,18,-0.28766769856381,-0.190864270465183,-0.0968034280986272,0.0179172792163472,114,0.385364971378357,0.395829415814022,"Tested",0.0358345584326945
"percentile_latbin_OLS","q90","collection5_k2_tropical_temperate","Coldhouse","Coolhouse",11,21,-0.740439233797774,-0.28766769856381,-0.452771535233964,0.0439977897197716,72,0.587356460144292,0.385364971378357,"Tested",0.0733296495329527
"percentile_latbin_OLS","q90","collection5_k2_tropical_temperate","Coolhouse","Transitional",21,18,-0.28766769856381,-0.119701466988094,-0.167966231575716,0.0557252571740903,132,0.385364971378357,0.689375790853332,"Tested",0.0796075102487005
